🖥️ Host selecionado: BRNOSADM01FW250 (ID: 10512)
📋 Total de itens encontrados: 3320

--- ITENS RELACIONADOS A WAN/INTERFACE ---
ID: 1409466 | Nome: Interface ssl.root(SSL VPN interface): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[10] | Valor: 0 bps
ID: 1409467 | Nome: Interface lan(): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[11] | Valor: 0 bps
ID: 1409468 | Nome: Interface fortilink(): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[12] | Valor: 0 bps
ID: 1409469 | Nome: Interface port11(): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[13] | Valor: 0 bps
ID: 1409470 | Nome: Interface port4(): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[14] | Valor: 0 bps
ID: 1409471 | Nome: Interface port2(): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[15] | Valor: 0 bps
ID: 1409472 | Nome: Interface VLAN_MGMT_AP(): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[16] | Valor: 0 bps
ID: 1409473 | Nome: Interface VLAN_WLAN11(): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[17] | Valor: 0 bps
ID: 1409474 | Nome: Interface cswlan11(b): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[18] | Valor: 0 bps
ID: 1409475 | Nome: Interface CENCONET(): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[19] | Valor: 0 bps
ID: 1409457 | Nome: Interface dmz(): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[1] | Valor: 0 bps
ID: 1409476 | Nome: Interface cenconet(b): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[20] | Valor: 0 bps
ID: 1409477 | Nome: Interface VLAN_WLAN12(): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[21] | Valor: 0 bps
ID: 1409478 | Nome: Interface cswlan12(b): Estimated downstream bandwidth | Key: fgIntfEntEstDownBandwidth.[22] | Valor: 0 bps
